Model,Learning_Rate,Hidden_Size,Epoch,Batch_Size,Train_Data_Size,Valid_Data_Size,Vacob_Size,Acc,Train_Time(秒/1轮),Valid_Time(秒/1轮),Predict_Time(秒/100条)
rnn,0.001,256,10,128,9589,2398,4623,0.8849040867389492,9.739327907562256,0.8302866458892822,0.03462413035401511
rnn,0.01,256,10,128,9589,2398,4623,0.8557130942452044,9.191819334030152,0.7725453615188599,0.03221623692739199
rnn,0.1,256,10,128,9589,2398,4623,0.7226855713094246,9.509700465202332,0.8128667593002319,0.033897696384496745
lstm,0.001,256,10,128,9589,2398,4623,0.8811509591326105,27.372001886367798,2.313861584663391,0.0964913087849621
lstm,0.01,256,10,128,9589,2398,4623,0.872393661384487,28.0605740070343,2.260663390159607,0.09427286864718962
lstm,0.1,256,10,128,9589,2398,4623,0.6559633027522935,118.54478461742401,3.7164475202560423,0.15498113095312938
cnn,0.001,256,10,128,9589,2398,4623,0.8748957464553795,7.706733369827271,0.6059546947479248,0.02526916992276584
cnn,0.01,256,10,128,9589,2398,4623,0.854045037531276,6.907204365730285,0.5339660167694091,0.02226713998204375
cnn,0.1,256,10,128,9589,2398,4623,0.8461217681401167,9.313274788856507,0.5797373533248902,0.02417586961321477
rcnn,0.001,256,10,128,9589,2398,4623,0.8740617180984154,25.122933769226073,1.9636489391326903,0.08188694491796039
rcnn,0.01,256,10,128,9589,2398,4623,0.8669724770642202,487.64641706943513,1.4309431076049806,0.059672356447246895
rcnn,0.1,256,10,128,9589,2398,4623,0.79232693911593,32.975447583198545,1.4531935214996339,0.06060023025436338
gated_cnn,0.001,256,10,128,9589,2398,4623,0.8794829024186822,12.408093810081482,0.9841671466827393,0.041041165416294385
gated_cnn,0.01,256,10,128,9589,2398,4623,0.8657214345287739,12.803745317459107,1.0556517601013184,0.04402217515018009
gated_cnn,0.1,256,10,128,9589,2398,4623,0.8407005838198499,306.7271332979202,0.8894819259643555,0.03709265746306736
gru,0.001,256,10,128,9589,2398,4623,0.8790658882402002,29.804926061630248,2.5671701669692992,0.10705463582023768
gru,0.01,256,10,128,9589,2398,4623,0.8561301084236864,32.54714334011078,2.6809926986694337,0.11180119677520574
gru,0.1,256,10,128,9589,2398,4623,0.7114261884904087,36.80250523090363,2.7835673809051515,0.11607870645976444
stack_gated_cnn,0.001,256,10,128,9589,2398,4623,0.8636363636363636,31.45847749710083,2.5527122974395753,0.10645172216178378
stack_gated_cnn,0.01,256,10,128,9589,2398,4623,0.8769808173477899,53.9515861749649,2.4935462474823,0.10398441399008757
stack_gated_cnn,0.1,256,10,128,9589,2398,4623,0.682652210175146,100.33268041610718,2.227096343040466,0.09287307518934387
fast_text,0.001,256,10,128,9589,2398,4623,0.8832360300250208,0.8161466598510743,0.05883393287658691,0.0024534584185399045
fast_text,0.01,256,10,128,9589,2398,4623,0.8623853211009175,0.839119291305542,0.06303915977478028,0.002628822342567985
fast_text,0.1,256,10,128,9589,2398,4623,0.8294412010008341,0.8388148546218872,0.06131718158721924,0.002557013410643004
